movie_title,title_year,genre,gross
Avatar,2009,Action,760505847
Pirates of the Caribbean: At World's End,2007,Fantasy,309404152
Spectre,2015,Thriller,200074175
The Dark Knight Rises,2012,Thriller,448130642
John Carter,2012,Action,73058679
Spider-Man 3,2007,Romance,336530303
Tangled,2010,Romance,200807262
Avengers: Age of Ultron,2015,Action,458991599
Harry Potter and the Half-Blood Prince,2009,Fantasy,301956980
Batman v Superman: Dawn of Justice,2016,Adventure,330249062
Superman Returns,2006,Adventure,200069408
Quantum of Solace,2008,Action,168368427
Pirates of the Caribbean: Dead Man's Chest,2006,Action,423032628
The Lone Ranger,2013,Adventure,89289910
Man of Steel,2013,Action,291021565
The Chronicles of Narnia: Prince Caspian,2008,Family,141614023
The Avengers,2012,Adventure,623279547
Pirates of the Caribbean: On Stranger Tides,2011,Action,241063875
Men in Black 3,2012,Sci-Fi,179020854
The Hobbit: The Battle of the Five Armies,2014,Adventure,255108370
The Amazing Spider-Man,2012,Fantasy,262030663
Robin Hood,2010,Drama,105219735
The Hobbit: The Desolation of Smaug,2013,Adventure,258355354
The Golden Compass,2007,Fantasy,70083519
King Kong,2005,Drama,218051260
Titanic,1997,Drama,658672302
Captain America: Civil War,2016,Adventure,407197282
Battleship,2012,Sci-Fi,65173160
Jurassic World,2015,Thriller,652177271
Skyfall,2012,Action,304360277
Spider-Man 2,2004,Romance,373377893
Iron Man 3,2013,Adventure,408992272
Alice in Wonderland,2010,Adventure,334185206
X-Men: The Last Stand,2006,Sci-Fi,234360014
Monsters University,2013,Fantasy,268488329
Transformers: Revenge of the Fallen,2009,Adventure,402076689
Transformers: Age of Extinction,2014,Sci-Fi,245428137
Oz the Great and Powerful,2013,Family,234903076
The Amazing Spider-Man 2,2014,Fantasy,202853933
TRON: Legacy,2010,Sci-Fi,172051787
Cars 2,2011,Comedy,191450875
Green Lantern,2011,Action,116593191
Toy Story 3,2010,Adventure,414984497
Terminator Salvation,2009,Action,125320003
Furious 7,2015,Crime,350034110
World War Z,2013,Thriller,202351611
X-Men: Days of Future Past,2014,Fantasy,233914986
